Nome,λ teórico [Å],λ observado [Å],Δλ [Å],Flux,S/N (aprox)
Não identificada,,5109.0,,0.04537800000000003,0.09380806600700599
Não identificada,,5175.0,,0.04470800000000008,0.09242300266739893
Não identificada,,5043.0,,0.04408499999999993,0.09113510048743553
Não identificada,,4422.0,,0.04275300000000004,0.08838151187794809
Não identificada,,5366.0,,0.04252699999999998,0.08791431140817002
[Ar IV] 4740,4740.2,4738.0,-2.199999999999818,0.04252099999999992,0.0879019078558749
Não identificada,,5063.0,,0.04068399999999994,0.08410435359489232
Não identificada,,4903.0,,0.040405000000000024,0.08352758841317548
Não identificada,,5343.0,,0.038290999999999964,0.07915740348790737
Não identificada,,5187.0,,0.037759999999999905,0.07805968910980067
Não identificada,,3383.0,,0.03675000000000006,0.07597175780681109
Não identificada,,4328.0,,0.034089999999999954,0.07047284962269883
[N I] 5200,5199.8,5209.0,9.199999999999818,0.030564999999999953,0.06318576264939248
Não identificada,,4980.0,,0.029079999999999995,0.06011588345638265
Não identificada,,5135.0,,0.026546999999999987,0.05487951712918122
Não identificada,,4752.0,,0.014538999999999969,0.030055874469475434
Não identificada,,5151.0,,0.014344000000000023,0.029652759019888387
Não identificada,,4919.0,,0.013126000000000082,0.02713483790400563
