wavelength	flux	var	error
4.442000e+03	2.500807e-19	8.090394e-40	2.844362e-20
4.443000e+03	2.181705e-19	7.948524e-40	2.819313e-20
4.444000e+03	2.174789e-19	7.977927e-40	2.824523e-20
4.445000e+03	2.326364e-19	7.994986e-40	2.827541e-20
4.446000e+03	2.577352e-19	8.072833e-40	2.841273e-20
4.447000e+03	2.311782e-19	8.019255e-40	2.831829e-20
4.448000e+03	2.128106e-19	7.963184e-40	2.821911e-20
4.449000e+03	2.220702e-19	7.971370e-40	2.823361e-20
4.450000e+03	2.337029e-19	8.149247e-40	2.854689e-20
4.451000e+03	2.179173e-19	8.092809e-40	2.844786e-20
4.452000e+03	2.102288e-19	8.058141e-40	2.838687e-20
4.453000e+03	2.137894e-19	8.172035e-40	2.858677e-20
4.454000e+03	2.492588e-19	8.351587e-40	2.889911e-20
4.455000e+03	2.352134e-19	8.300131e-40	2.880995e-20
4.456000e+03	2.094298e-19	8.271392e-40	2.876003e-20
4.457000e+03	2.364112e-19	8.298184e-40	2.880657e-20
4.458000e+03	2.353596e-19	8.229525e-40	2.868715e-20
4.459000e+03	2.118289e-19	7.915572e-40	2.813463e-20
4.460000e+03	1.891833e-19	7.760361e-40	2.785742e-20
4.461000e+03	2.270280e-19	7.891256e-40	2.809138e-20
4.462000e+03	1.755375e-19	7.819146e-40	2.796274e-20
4.463000e+03	2.482784e-19	7.919375e-40	2.814138e-20
4.464000e+03	2.059746e-19	7.758274e-40	2.785368e-20
4.465000e+03	1.875211e-19	7.749200e-40	2.783738e-20
4.466000e+03	2.320587e-19	7.856359e-40	2.802920e-20
4.467000e+03	2.265476e-19	7.813474e-40	2.795259e-20
4.468000e+03	2.284546e-19	7.822752e-40	2.796918e-20
4.469000e+03	2.410764e-19	7.849545e-40	2.801704e-20
4.470000e+03	2.590609e-19	7.890860e-40	2.809067e-20
4.471000e+03	2.584853e-19	7.849912e-40	2.801769e-20
4.472000e+03	2.672989e-19	7.988343e-40	2.826366e-20
4.473000e+03	2.710254e-19	7.888461e-40	2.808640e-20
4.474000e+03	2.620083e-19	7.868207e-40	2.805032e-20
4.475000e+03	2.215453e-19	7.753024e-40	2.784425e-20
4.476000e+03	2.116583e-19	7.787924e-40	2.790685e-20
4.477000e+03	2.129095e-19	8.338583e-40	2.887660e-20
4.478000e+03	2.466814e-19	9.073301e-40	3.012192e-20
4.479000e+03	2.709168e-19	9.853670e-40	3.139056e-20
4.480000e+03	2.062716e-19	9.837145e-40	3.136422e-20
4.481000e+03	2.193389e-19	9.383961e-40	3.063325e-20
4.482000e+03	2.339580e-19	8.943622e-40	2.990589e-20
4.483000e+03	2.105106e-19	8.360323e-40	2.891422e-20
4.484000e+03	2.446194e-19	8.131375e-40	2.851557e-20
4.485000e+03	2.425014e-19	8.072501e-40	2.841215e-20
4.486000e+03	2.079025e-19	7.914808e-40	2.813327e-20
4.487000e+03	2.331742e-19	7.884071e-40	2.807859e-20
4.488000e+03	2.326932e-19	7.727101e-40	2.779766e-20
4.489000e+03	2.266024e-19	7.638597e-40	2.763801e-20
4.490000e+03	2.245856e-19	7.600907e-40	2.756974e-20
4.491000e+03	2.162296e-19	7.568416e-40	2.751075e-20
4.492000e+03	2.379833e-19	7.637835e-40	2.763663e-20
4.493000e+03	2.421897e-19	7.783665e-40	2.789922e-20
4.494000e+03	2.317712e-19	8.669634e-40	2.944424e-20
4.495000e+03	2.243680e-19	1.047652e-39	3.236745e-20
4.496000e+03	2.540937e-19	1.315732e-39	3.627303e-20
4.497000e+03	2.278589e-19	1.342790e-39	3.664410e-20
4.498000e+03	2.303081e-19	1.261635e-39	3.551950e-20
4.499000e+03	2.697246e-19	1.144490e-39	3.383031e-20
4.500000e+03	2.278390e-19	1.016015e-39	3.187498e-20
4.501000e+03	2.613799e-19	1.056388e-39	3.250213e-20
4.502000e+03	2.717496e-19	1.071179e-39	3.272886e-20
4.503000e+03	2.253287e-19	1.015921e-39	3.187351e-20
4.504000e+03	2.225134e-19	8.789228e-40	2.964663e-20
4.505000e+03	2.325880e-19	7.652236e-40	2.766268e-20
4.506000e+03	2.156151e-19	7.727332e-40	2.779808e-20
4.507000e+03	2.354924e-19	7.613379e-40	2.759235e-20
4.508000e+03	2.648308e-19	7.866087e-40	2.804654e-20
4.509000e+03	2.291166e-19	8.083501e-40	2.843150e-20
4.510000e+03	2.634330e-19	8.097370e-40	2.845588e-20
4.511000e+03	2.554104e-19	7.996226e-40	2.827760e-20
4.512000e+03	2.453055e-19	7.859941e-40	2.803559e-20
4.513000e+03	2.471339e-19	7.496007e-40	2.737884e-20
4.514000e+03	2.162011e-19	7.623773e-40	2.761118e-20
4.515000e+03	2.314598e-19	8.666650e-40	2.943918e-20
4.516000e+03	2.214198e-19	9.025787e-40	3.004295e-20
4.517000e+03	2.403379e-19	9.072196e-40	3.012009e-20
4.518000e+03	2.346709e-19	8.917945e-40	2.986293e-20
4.519000e+03	2.371249e-19	8.023160e-40	2.832518e-20
4.520000e+03	2.434657e-19	7.535001e-40	2.744996e-20
