wavelength	flux	var	error
2.704000e+03			
2.705000e+03			
2.706000e+03			
2.707000e+03			
2.708000e+03			
2.709000e+03			
2.710000e+03			
2.711000e+03			
2.712000e+03			
2.713000e+03			
2.714000e+03			
2.715000e+03			
2.716000e+03			
2.717000e+03			
2.718000e+03			
2.719000e+03			
2.720000e+03			
2.721000e+03			
2.722000e+03			
2.723000e+03			
2.724000e+03			
2.725000e+03			
2.726000e+03			
2.727000e+03			
2.728000e+03			
2.729000e+03			
2.730000e+03			
2.731000e+03			
2.732000e+03			
2.733000e+03			
2.734000e+03			
2.735000e+03			
2.736000e+03			
2.737000e+03			
2.738000e+03			
2.739000e+03			
2.740000e+03			
2.741000e+03			
2.742000e+03			
2.743000e+03			
2.744000e+03			
2.745000e+03	-1.069184e+01	3.770832e+01	6.140710e+00
2.746000e+03	-7.263681e+00	1.874617e+02	1.369167e+01
2.747000e+03	1.560143e+01	2.334469e+02	1.527897e+01
2.748000e+03	7.433925e+00	2.461453e+02	1.568902e+01
2.749000e+03	2.216768e+01	2.514175e+02	1.585615e+01
2.750000e+03	2.952643e+01	2.595963e+02	1.611199e+01
2.751000e+03	2.159380e+01	2.638664e+02	1.624397e+01
2.752000e+03	6.107663e+00	2.592977e+02	1.610272e+01
2.753000e+03	1.678007e+01	2.665772e+02	1.632719e+01
2.754000e+03	2.994570e+01	2.728622e+02	1.651854e+01
2.755000e+03	3.351184e+01	2.711410e+02	1.646636e+01
2.756000e+03	1.946429e+01	2.658142e+02	1.630381e+01
2.757000e+03	1.892932e+01	2.664472e+02	1.632321e+01
2.758000e+03	3.391595e+01	2.733895e+02	1.653449e+01
2.759000e+03	1.611961e+01	2.679939e+02	1.637052e+01
2.760000e+03	1.293727e+01	2.704396e+02	1.644505e+01
2.761000e+03	9.788567e+00	2.687391e+02	1.639326e+01
2.762000e+03	1.925639e+01	2.781090e+02	1.667660e+01
2.763000e+03	1.345324e+01	2.741062e+02	1.655615e+01
2.764000e+03	2.354120e+01	2.797692e+02	1.672630e+01
2.765000e+03	1.725195e+01	2.844006e+02	1.686418e+01
2.766000e+03	1.318205e+01	2.824703e+02	1.680685e+01
2.767000e+03	3.624695e+01	3.686302e+02	1.919975e+01
2.768000e+03	3.444286e+01	1.256319e+03	3.544460e+01
2.769000e+03	3.263888e+01	5.338833e+03	7.306732e+01
2.770000e+03	3.083506e+01	7.676159e+03	8.761369e+01
2.771000e+03	2.903097e+01	5.851106e+03	7.649252e+01
2.772000e+03	2.722708e+01	5.883581e+03	7.670451e+01
2.773000e+03	2.542325e+01	7.430048e+03	8.619773e+01
2.774000e+03	2.361920e+01	7.992194e+03	8.939907e+01
2.775000e+03	2.181540e+01	2.090482e+03	4.572179e+01
2.776000e+03	2.001155e+01	4.506727e+02	2.122905e+01
2.777000e+03	1.820754e+01	3.365007e+02	1.834396e+01
2.778000e+03	1.531185e+01	3.308227e+02	1.818853e+01
2.779000e+03	4.956011e+00	3.285302e+02	1.812540e+01
2.780000e+03	1.210650e+01	3.385315e+02	1.839923e+01
2.781000e+03	5.884879e+00	3.420183e+02	1.849374e+01
2.782000e+03	1.054593e+01	3.529464e+02	1.878687e+01
2.783000e+03	3.511601e+01	3.657013e+02	1.912332e+01
2.784000e+03	2.410512e+01	3.710354e+02	1.926228e+01
2.785000e+03	2.530026e+01	3.709297e+02	1.925953e+01
2.786000e+03	1.478812e+01	3.659521e+02	1.912987e+01
2.787000e+03	3.610012e+00	3.564652e+02	1.888029e+01
2.788000e+03	2.783780e+01	3.837198e+02	1.958877e+01
2.789000e+03	2.480255e+01	3.876181e+02	1.968802e+01
2.790000e+03	2.080714e+01	3.892563e+02	1.972958e+01
2.791000e+03	3.298522e+01	4.007612e+02	2.001902e+01
2.792000e+03	2.740866e+01	4.014908e+02	2.003724e+01
2.793000e+03	3.274346e+01	4.048661e+02	2.012129e+01
2.794000e+03	1.402414e+01	3.967144e+02	1.991769e+01
2.795000e+03	1.115168e+01	4.037442e+02	2.009339e+01
2.796000e+03	-1.151866e+00	4.015427e+02	2.003853e+01
2.797000e+03	1.303344e+00	4.137258e+02	2.034025e+01
2.798000e+03	1.875933e+01	4.232171e+02	2.057224e+01
2.799000e+03	3.461149e+01	4.396163e+02	2.096703e+01
2.800000e+03	3.815721e+01	4.356544e+02	2.087233e+01
