wavelength	flux	var	error
2.704000e+03			
2.705000e+03			
2.706000e+03			
2.707000e+03			
2.708000e+03			
2.709000e+03			
2.710000e+03			
2.711000e+03			
2.712000e+03			
2.713000e+03	-1.967165e+01	4.345668e+01	6.592168e+00
2.714000e+03	-9.098237e+00	1.575604e+02	1.255231e+01
2.715000e+03	1.426055e+00	1.830237e+02	1.352862e+01
2.716000e+03	3.448297e+00	1.862622e+02	1.364779e+01
2.717000e+03	1.431177e+01	1.978495e+02	1.406590e+01
2.718000e+03	1.721228e+01	2.025886e+02	1.423336e+01
2.719000e+03	3.199861e+00	1.991371e+02	1.411160e+01
2.720000e+03	3.060320e+00	1.985019e+02	1.408907e+01
2.721000e+03	2.179993e+01	2.080968e+02	1.442556e+01
2.722000e+03	1.112134e+01	2.060635e+02	1.435491e+01
2.723000e+03	-4.662119e+00	1.993151e+02	1.411790e+01
2.724000e+03	6.381944e+00	2.043603e+02	1.429546e+01
2.725000e+03	1.246881e+01	2.063537e+02	1.436501e+01
2.726000e+03	1.023463e+01	2.063846e+02	1.436609e+01
2.727000e+03	3.195993e+00	2.028436e+02	1.424232e+01
2.728000e+03	2.245534e+01	2.133594e+02	1.460683e+01
2.729000e+03	2.579970e+01	2.149638e+02	1.466164e+01
2.730000e+03	-3.684395e-01	1.997833e+02	1.413447e+01
2.731000e+03	1.154588e+01	2.122160e+02	1.456764e+01
2.732000e+03	7.800862e-01	2.078722e+02	1.441777e+01
2.733000e+03	2.300763e+01	2.219156e+02	1.489683e+01
2.734000e+03	8.547798e+00	2.179712e+02	1.476385e+01
2.735000e+03	1.358497e+01	2.248923e+02	1.499641e+01
2.736000e+03	1.276428e+01	2.252943e+02	1.500981e+01
2.737000e+03	4.811023e+00	2.249872e+02	1.499957e+01
2.738000e+03	7.531039e+00	2.275730e+02	1.508552e+01
2.739000e+03	1.032811e+01	2.332192e+02	1.527152e+01
2.740000e+03	2.872721e+01	2.475666e+02	1.573425e+01
2.741000e+03	8.148798e+00	2.387904e+02	1.545285e+01
2.742000e+03	7.401643e+00	2.413042e+02	1.553397e+01
2.743000e+03	3.193487e+01	2.611314e+02	1.615956e+01
2.744000e+03	1.205001e+01	2.542522e+02	1.594529e+01
2.745000e+03	1.615422e+01	2.625114e+02	1.620220e+01
2.746000e+03	1.972512e+01	2.618734e+02	1.618250e+01
2.747000e+03	2.289506e+01	2.726853e+02	1.651318e+01
2.748000e+03	1.577243e+01	2.702281e+02	1.643862e+01
2.749000e+03	3.144147e+01	2.848671e+02	1.687801e+01
2.750000e+03	8.544190e+00	2.731978e+02	1.652870e+01
2.751000e+03	1.466532e+01	2.804577e+02	1.674687e+01
2.752000e+03	1.535777e+01	2.865138e+02	1.692672e+01
2.753000e+03	1.381300e+01	2.864613e+02	1.692517e+01
2.754000e+03	1.170539e+01	2.889503e+02	1.699854e+01
2.755000e+03	2.816193e+01	3.004943e+02	1.733477e+01
2.756000e+03	1.448556e+01	2.989550e+02	1.729032e+01
2.757000e+03	6.444503e+00	2.961468e+02	1.720892e+01
2.758000e+03	1.095755e+01	2.970840e+02	1.723613e+01
2.759000e+03	1.434157e+01	3.018028e+02	1.737247e+01
2.760000e+03	7.465670e+00	3.043873e+02	1.744670e+01
2.761000e+03	8.710729e+00	3.053152e+02	1.747327e+01
2.762000e+03	3.456774e+01	3.265382e+02	1.807037e+01
2.763000e+03	1.548868e+01	3.187416e+02	1.785334e+01
2.764000e+03	4.138971e+00	3.104548e+02	1.761973e+01
2.765000e+03	3.286768e+01	3.318254e+02	1.821608e+01
2.766000e+03	1.496180e+01	3.233519e+02	1.798199e+01
2.767000e+03	3.351688e+01	3.364046e+02	1.834133e+01
2.768000e+03	4.548437e+01	3.524616e+02	1.877396e+01
2.769000e+03	2.665502e+01	3.407551e+02	1.845955e+01
2.770000e+03	2.353713e+01	3.435364e+02	1.853473e+01
2.771000e+03	2.149772e+01	3.435198e+02	1.853429e+01
2.772000e+03	2.752196e+01	3.597641e+02	1.896745e+01
2.773000e+03	3.129056e+01	3.585885e+02	1.893643e+01
2.774000e+03	3.363743e+01	3.693093e+02	1.921742e+01
2.775000e+03	2.135451e+01	3.593387e+02	1.895623e+01
2.776000e+03	3.067703e+01	3.660482e+02	1.913239e+01
2.777000e+03	8.335527e+00	3.564797e+02	1.888067e+01
