wavelength,flux_obs,flux_syn,flux_residual
3268.0,1.35447,1.25148,0.10299000000000014
3269.0,1.11788,1.25121,-0.13332999999999995
3270.0,1.189,1.25092,-0.061919999999999975
3271.0,1.38483,1.25055,0.13427999999999995
3272.0,1.42862,1.25004,0.17857999999999996
3273.0,1.38308,1.24931,0.13377000000000017
3274.0,1.53463,1.24834,0.28628999999999993
3275.0,1.16259,1.24707,-0.08447999999999989
3276.0,1.03132,1.24551,-0.21418999999999988
3277.0,1.43557,1.24367,0.19189999999999996
3278.0,1.62108,1.24159,0.3794900000000001
3279.0,1.15146,1.23936,-0.08790000000000009
3280.0,1.2371,1.23717,-7.00000000000145e-05
3281.0,1.25838,1.23512,0.02326000000000006
3282.0,0.96157,1.23327,-0.27170000000000005
3283.0,1.16944,1.23169,-0.062249999999999917
3284.0,1.26951,1.2304,0.03910999999999998
3285.0,1.22309,1.22939,-0.006299999999999972
3286.0,1.13917,1.22864,-0.08946999999999994
3287.0,0.829895,1.22809,-0.39819499999999985
3288.0,1.27508,1.22769,0.04739000000000004
3289.0,1.07062,1.22735,-0.15673000000000004
3290.0,0.886681,1.22701,-0.3403289999999999
3291.0,0.880569,1.2266,-0.34603099999999987
3292.0,1.10242,1.22604,-0.12362000000000006
3293.0,1.28583,1.22527,0.06055999999999995
3294.0,1.30755,1.22425,0.08329999999999993
3295.0,1.28778,1.22293,0.06484999999999985
3296.0,0.938483,1.22131,-0.28282699999999994
3297.0,1.03876,1.21942,-0.18066000000000004
3298.0,1.12688,1.21728,-0.09039999999999981
3299.0,1.24647,1.21497,0.03149999999999986
3300.0,1.22314,1.21269,0.010449999999999848
3301.0,1.11007,1.21056,-0.10049000000000019
3302.0,0.95801,1.20862,-0.25061
3303.0,1.30831,1.20692,0.10139000000000009
3304.0,1.2289,1.20548,0.023419999999999996
3305.0,1.26733,1.20426,0.06306999999999996
3306.0,1.32488,1.20318,0.12170000000000014
3307.0,1.06273,1.20217,-0.13944
3308.0,1.07123,1.2011,-0.12987000000000015
3309.0,1.36853,1.19988,0.16864999999999997
3310.0,1.42726,1.19841,0.22885
3311.0,1.35695,1.19662,0.16033000000000008
3312.0,1.09427,1.19448,-0.10020999999999991
3313.0,1.02374,1.19203,-0.16828999999999983
3314.0,1.15779,1.18928,-0.031489999999999796
3315.0,1.26676,1.18631,0.08045000000000013
3316.0,0.914999,1.18336,-0.26836099999999996
3317.0,0.984124,1.1806,-0.1964760000000001
3318.0,1.29741,1.17804,0.11936999999999998
3319.0,1.02747,1.17571,-0.14823999999999993
3320.0,1.08593,1.1736,-0.08766999999999991
3321.0,1.23144,1.17167,0.0597700000000001
3322.0,1.08421,1.16983,-0.08562000000000003
3323.0,1.23867,1.16793,0.07074000000000003
3324.0,1.37186,1.16593,0.20593000000000017
3325.0,1.18953,1.16372,0.02580999999999989
3326.0,1.11848,1.16128,-0.04280000000000017
3327.0,1.14735,1.15861,-0.011259999999999826
3328.0,1.22364,1.15573,0.06791000000000014
3329.0,1.09079,1.15263,-0.06184000000000012
3330.0,1.03675,1.14932,-0.11256999999999984
3331.0,0.76186,1.14585,-0.38399000000000005
3332.0,1.07427,1.14235,-0.06807999999999992
3333.0,1.64263,1.13903,0.5036
3334.0,1.37726,1.13606,0.24119999999999986
3335.0,1.19247,1.13368,0.0587899999999999
3336.0,1.59215,1.13206,0.4600899999999999
3337.0,1.51052,1.13128,0.37924
3338.0,1.16924,1.13131,0.03793000000000002
3339.0,1.19852,1.13202,0.0665
3340.0,1.46451,1.1333,0.33121
3341.0,1.41718,1.13484,0.28234000000000004
3342.0,1.25071,1.13634,0.11437000000000008
3343.0,1.06238,1.1373,-0.07491999999999988
3344.0,0.968321,1.13737,-0.169049
3345.0,0.996852,1.13636,-0.13950800000000008
3346.0,0.946802,1.13414,-0.1873379999999999
3347.0,0.811599,1.13076,-0.31916100000000003
3348.0,1.03964,1.12649,-0.0868500000000001
3349.0,1.17637,1.12168,0.054689999999999905
3350.0,1.43039,1.11694,0.31345
3351.0,1.3922,1.11241,0.2797900000000002
3352.0,1.27296,1.10818,0.16478000000000015
3353.0,1.18765,1.10434,0.08331
3354.0,1.03788,1.10099,-0.06311
3355.0,1.09463,1.09813,-0.0035000000000000586
3356.0,0.792499,1.09567,-0.30317099999999997
3357.0,1.09958,1.09352,0.006059999999999954
3358.0,1.37069,1.09158,0.27910999999999997
3359.0,0.962447,1.08979,-0.12734299999999998
3360.0,1.01696,1.08805,-0.07108999999999988
3361.0,0.962359,1.08632,-0.12396099999999999
3362.0,1.01178,1.08446,-0.07268000000000008
3363.0,1.23114,1.08242,0.14871999999999996
3364.0,1.24621,1.08016,0.16605000000000003
3365.0,1.31287,1.07787,0.23499999999999988
3366.0,1.42811,1.07571,0.35240000000000005
3367.0,1.3179,1.07385,0.2440500000000001
3368.0,1.34441,1.07245,0.2719600000000002
3369.0,1.20445,1.07157,0.1328800000000001
3370.0,0.826417,1.07122,-0.2448030000000001
3371.0,0.957458,1.07142,-0.11396200000000001
3372.0,1.12425,1.07232,0.05193000000000003
3373.0,1.11374,1.0738,0.039939999999999864
3374.0,0.901563,1.07573,-0.17416700000000007
3375.0,0.804572,1.07786,-0.2732880000000001
3376.0,0.784291,1.08004,-0.29574899999999993
3377.0,0.812799,1.08234,-0.26954100000000003
3378.0,0.712042,1.08474,-0.3726980000000001
3379.0,0.788915,1.08724,-0.29832499999999995
3380.0,0.944988,1.08972,-0.14473199999999997
3381.0,0.865088,1.09207,-0.22698200000000013
3382.0,1.04115,1.09428,-0.0531299999999999
3383.0,1.13308,1.09633,0.03675000000000006
3384.0,1.06155,1.09832,-0.03676999999999997
3385.0,1.03871,1.10016,-0.061450000000000005
3386.0,1.01484,1.10178,-0.08694000000000002
3387.0,0.993495,1.10315,-0.10965500000000006
3388.0,0.971965,1.10427,-0.13230500000000012
3389.0,0.946794,1.1052,-0.15840599999999994
3390.0,0.925452,1.10581,-0.1803579999999999
3391.0,1.27116,1.10603,0.16513
3392.0,1.32769,1.10569,0.22199999999999998
3393.0,1.19829,1.10474,0.09355000000000002
3394.0,1.22792,1.10292,0.125
3395.0,1.03106,1.10022,-0.06915999999999989
