Linha,lambda_central,lambda_pico,flux_integrado,flux_pico,continuo_local,EW,largura_integracao
Hβ,4861.3,4860.0,19.979979500000002,4.315806500000001,0.0174635,1144.0993787041546,25.0
[O III] 5007,5006.8,5006.0,37.3815165,8.388483333333333,-0.027244333333333298,,25.0
[O III] 4959,4958.9,4958.0,12.579982000000001,2.7146118333333336,-0.04245283333333334,,25.0
[O II] 3727,3726.0,3727.0,41.188051,7.251385666666667,0.005483333333333357,7511.498662613949,25.0
