wavelength	flux	var	error
2.704000e+03	-1.831446e+01	9.036108e+00	3.006012e+00
2.705000e+03	-3.935931e+00	1.085739e+02	1.041988e+01
2.706000e+03	1.277190e+01	1.384529e+02	1.176660e+01
2.707000e+03	2.521209e+00	1.489072e+02	1.220275e+01
2.708000e+03	1.515350e+01	1.617124e+02	1.271662e+01
2.709000e+03	1.096616e+01	1.604868e+02	1.266834e+01
2.710000e+03	1.000531e+01	1.618908e+02	1.272363e+01
2.711000e+03	2.572796e+01	1.712534e+02	1.308638e+01
2.712000e+03	2.535592e+01	1.706960e+02	1.306507e+01
2.713000e+03	1.621410e+01	1.644821e+02	1.282506e+01
2.714000e+03	1.915010e+01	1.669096e+02	1.291935e+01
2.715000e+03	1.464897e+01	1.626540e+02	1.275359e+01
2.716000e+03	5.835769e+00	1.627170e+02	1.275606e+01
2.717000e+03	-2.112451e+00	1.563893e+02	1.250557e+01
2.718000e+03	3.464711e+00	1.574096e+02	1.254630e+01
2.719000e+03	1.000996e+01	1.623847e+02	1.274302e+01
2.720000e+03	3.718762e-01	1.577873e+02	1.256134e+01
2.721000e+03	2.018972e+00	1.627670e+02	1.275802e+01
2.722000e+03	9.667869e+00	1.646663e+02	1.283224e+01
2.723000e+03	2.819910e+01	1.804468e+02	1.343305e+01
2.724000e+03	2.283588e+01	1.782745e+02	1.335195e+01
2.725000e+03	1.541151e+01	1.753770e+02	1.324300e+01
2.726000e+03	2.483549e+01	1.822202e+02	1.349890e+01
2.727000e+03	1.198953e+01	1.767758e+02	1.329571e+01
2.728000e+03	-1.770083e+00	1.705228e+02	1.305844e+01
2.729000e+03	3.815662e+00	1.740258e+02	1.319188e+01
2.730000e+03	1.427490e+01	1.820421e+02	1.349230e+01
2.731000e+03	1.149833e+01	1.846842e+02	1.358986e+01
2.732000e+03	9.188331e+00	1.865427e+02	1.365806e+01
2.733000e+03	1.707854e+01	1.912954e+02	1.383096e+01
2.734000e+03	1.218880e+01	1.933445e+02	1.390484e+01
2.735000e+03	1.410046e+01	1.989032e+02	1.410330e+01
2.736000e+03	1.342958e+01	1.994954e+02	1.412428e+01
2.737000e+03	-2.153980e+00	1.915668e+02	1.384077e+01
2.738000e+03	1.358533e+01	2.048894e+02	1.431396e+01
2.739000e+03	7.830717e+00	2.044303e+02	1.429791e+01
2.740000e+03	-5.973375e+00	1.990688e+02	1.410918e+01
2.741000e+03	-2.708036e+00	2.040866e+02	1.428589e+01
2.742000e+03	1.484813e+00	2.055486e+02	1.433697e+01
2.743000e+03	-6.598376e+00	2.057599e+02	1.434433e+01
2.744000e+03	4.550220e+00	2.111393e+02	1.453063e+01
2.745000e+03	1.322245e+01	2.186633e+02	1.478727e+01
2.746000e+03	-2.663969e+00	2.147251e+02	1.465350e+01
2.747000e+03	2.910139e+00	2.169447e+02	1.472904e+01
2.748000e+03	1.996766e+01	2.309021e+02	1.519546e+01
2.749000e+03	1.892709e+01	2.329329e+02	1.526214e+01
2.750000e+03	3.927995e+00	2.241372e+02	1.497121e+01
2.751000e+03	1.097557e+01	2.309322e+02	1.519645e+01
2.752000e+03	-2.234004e+00	2.244918e+02	1.498305e+01
