wavelength	flux	var	error
2.704000e+03			
2.705000e+03			
2.706000e+03			
2.707000e+03			
2.708000e+03			
2.709000e+03			
2.710000e+03	1.908574e+01	5.213456e+01	7.220426e+00
2.711000e+03	3.335233e+01	1.995964e+02	1.412786e+01
2.712000e+03	5.997686e+00	2.140598e+02	1.463078e+01
2.713000e+03	1.007326e+01	2.286771e+02	1.512207e+01
2.714000e+03	-6.008100e-01	2.316732e+02	1.522081e+01
2.715000e+03	2.762621e+01	2.502482e+02	1.581923e+01
2.716000e+03	2.760222e+01	2.511158e+02	1.584663e+01
2.717000e+03	1.911336e+01	2.461539e+02	1.568929e+01
2.718000e+03	1.010353e+01	2.445804e+02	1.563907e+01
2.719000e+03	7.264140e+00	2.597883e+02	1.611795e+01
2.720000e+03	-1.089415e+01	2.929942e+02	1.711707e+01
2.721000e+03	2.856349e+00	2.773510e+02	1.665386e+01
2.722000e+03	1.605205e+01	2.768780e+02	1.663965e+01
2.723000e+03	1.363685e+01	2.604408e+02	1.613818e+01
2.724000e+03	-1.341183e+01	2.713325e+02	1.647217e+01
2.725000e+03	-4.764575e+00	2.769612e+02	1.664215e+01
2.726000e+03	2.678317e+01	2.636110e+02	1.623610e+01
2.727000e+03	9.517379e+00	2.536553e+02	1.592656e+01
2.728000e+03	1.388521e+01	2.609321e+02	1.615339e+01
2.729000e+03	2.780564e+01	2.712230e+02	1.646885e+01
2.730000e+03	3.711447e+00	2.651654e+02	1.628390e+01
2.731000e+03	-7.356883e+00	2.566367e+02	1.601988e+01
2.732000e+03	1.428975e+01	2.738775e+02	1.654924e+01
2.733000e+03	8.641921e+00	2.729009e+02	1.651971e+01
2.734000e+03	2.096547e+01	2.812826e+02	1.677148e+01
2.735000e+03	1.796397e+01	2.825924e+02	1.681049e+01
2.736000e+03	7.184417e+00	2.792483e+02	1.671072e+01
2.737000e+03	2.652254e+00	2.808316e+02	1.675803e+01
2.738000e+03	1.325432e+01	2.913793e+02	1.706984e+01
2.739000e+03	3.184178e+01	3.035725e+02	1.742333e+01
2.740000e+03	2.468478e+01	3.074361e+02	1.753385e+01
2.741000e+03	9.671786e+00	3.038729e+02	1.743195e+01
2.742000e+03	1.498135e+01	3.064876e+02	1.750679e+01
2.743000e+03	1.486465e+01	3.136059e+02	1.770892e+01
2.744000e+03	1.072836e+01	3.124688e+02	1.767679e+01
2.745000e+03	1.026417e+01	3.195819e+02	1.787685e+01
2.746000e+03	1.317097e+01	3.263235e+02	1.806443e+01
2.747000e+03	-3.672289e+00	3.167676e+02	1.779797e+01
2.748000e+03	2.850981e+00	3.243170e+02	1.800880e+01
2.749000e+03	9.599710e+00	3.327830e+02	1.824234e+01
2.750000e+03	1.192025e+01	3.271699e+02	1.808784e+01
2.751000e+03	1.367830e+01	3.348770e+02	1.829964e+01
2.752000e+03	3.298827e+01	3.519525e+02	1.876040e+01
2.753000e+03	4.280158e+01	3.674823e+02	1.916983e+01
2.754000e+03	1.333993e+01	3.499577e+02	1.870716e+01
2.755000e+03	2.933732e+00	3.502595e+02	1.871522e+01
2.756000e+03	1.846029e+01	3.620156e+02	1.902671e+01
2.757000e+03	6.822724e+00	3.577592e+02	1.891452e+01
2.758000e+03	1.697002e+01	3.675391e+02	1.917131e+01
2.759000e+03	1.209503e+01	3.717412e+02	1.928059e+01
2.760000e+03	1.279826e+01	3.737231e+02	1.933192e+01
2.761000e+03	2.093725e+01	3.822373e+02	1.955089e+01
2.762000e+03	-6.511583e+00	3.646864e+02	1.909676e+01
2.763000e+03	2.136373e+01	3.907611e+02	1.976768e+01
2.764000e+03	-5.895672e+00	3.802508e+02	1.950002e+01
2.765000e+03	-8.092099e+00	3.739906e+02	1.933884e+01
2.766000e+03	-6.990368e+00	3.799350e+02	1.949192e+01
2.767000e+03	1.681510e+01	3.976743e+02	1.994177e+01
2.768000e+03	2.843176e+01	4.114271e+02	2.028367e+01
2.769000e+03	3.192535e+01	4.249165e+02	2.061350e+01
2.770000e+03	1.452432e+01	4.183975e+02	2.045477e+01
2.771000e+03	5.177412e+00	4.170848e+02	2.042265e+01
2.772000e+03	1.247785e+01	4.192361e+02	2.047525e+01
2.773000e+03	1.964784e+01	4.314654e+02	2.077175e+01
2.774000e+03	1.291629e+01	4.310169e+02	2.076095e+01
2.775000e+03	7.338466e+00	4.397768e+02	2.097086e+01
